Year;Rank;Name;Citizenship;Country Code;Net Worth Billion;Age;Industry Aggregates;Selfmade;Generation of Inheritance;Type of Wealth;Industry;Relationship to Company;Gender;Source of Wealth;Sector;Company;Company type;Founding Date;Political Connection;GDP Currentus;Region;Notes;Notes 2;Deflator 1996;Real Net Worth;Characteristics
2014;1154;Faruk Eczacibasi;Turkey;TUR;1.5;59.0;New Sectors;inherited;inherited from father;inherited;Technology-Medical;relation;male;pharmaceuticals, diversified;pharmaceuticals;Eczacibasi Holding;new;1942;;;Middle East/North Africa;inherited from father;;138.802093506;1.08067536354;North,Founder,Real Billionaires
2014;1442;Fernando Roig;Spain;ESP;1.15;66.0;Non-Traded Sectors;inherited;inherited from father;inherited;Retail, Restaurant;relation;male;supermarkets;groceries;Mercadona;new;1977;;;Europe;took over 8 stores from father;;138.802093506;0.828517735004;North,Founder,Real Billionaires
2014;988;Filiz Sahenk;Turkey;TUR;1.8;47.0;Financial;inherited;inherited from father;inherited;Money Management;relation;female;bank, media;construction,banking;Dogus Holding;new;1951;;;Middle East/North Africa;inherited from father;head of branded clothing and tourism divisions;138.802093506;1.29681038857;North,Founder,Real Billionaires
2014;367;Francisco Ivens de Sa Dias Branco;Brazil;BRA;4.1;77.0;Traded Sectors;self-made;;executive;Consumer;relation;male;food production;food production;M. Dias Branco S.A.;new;1927;;;Latin America;became controlling shareholder of father's bakery in 1953;;138.802093506;2.95384597778;North,Founder,Real Billionaires
2014;58;Francois Pinault;France;FRA;15.5;77.0;Non-Traded Sectors;self-made;;founder non-finance;Retail, Restaurant;founder;male;retail;apparel;Pinault-Printemps-Redoute (PPR), now known as Kering;new;1963;;;Europe;;;;;North,Founder
2014;483;Fu Liquan;China;CHN;3.3;46.0;New Sectors;self-made;;executive;Technology-Computer;chairman;male;electronics;security and surveillance technology;Zhejiang Dahua Technology;new;2001;;;East Asia;;;;;North,Founder
1996;174;Funke family;Germany;DEU;2.09999990463;0.0;Non-Traded Sectors;;;executive;Media;;;;;;;;;2501572654020.0;Europe;;;100.000007629;2.09999966621;North,Founder,Real Billionaires
2001;490;Gabriel Escarrer;Spain;ESP;1.0;66.0;Financial;self-made;;self-made finance;Real Estate;founder;male;;hotels;Melia Hotels International;new;1956;;625975838926.0;Europe;;;109.114585876;0.916467785835;North,Founder,Real Billionaires
2014;122;George Kaiser;United States;USA;10.0;71.0;Resource Related;inherited;inherited from father;inherited;Energy;relation;male;oil & gas, banking;oil;Kaiser-Francis Oil Company;new;1940;;;North America;inherited from uncle;;138.802093506;7.20450210571;North,Founder,Real Billionaires
2014;764;George Ty;Philippines;PHL;2.3;81.0;Financial;self-made;;self-made finance;Money Management;founder;male;banking;banking;Metropolitan Bank and Trust Company;new;1962;;;East Asia;;;;;North,Founder
2014;828;Gerald J. Ford;United States;USA;2.1;69.0;Financial;self-made;;self-made finance;Money Management;Chairman;male;banking;insurance;Golden State Bancorp;new;1926;;;North America;;;138.802093506;1.51294541359;North,Founder,Real Billionaires
1996;386;Gerard Louis-Dreyfus;France;FRA;1.0;63.0;Financial;inherited;Fourth generation;inherited;Money Management;relation;male;;energy;Louis Dreyfus Group;new;1851;;1614245416080.0;Europe;4th generation;;100.000007629;0.999999940395;North,Founder,Real Billionaires
2014;1540;Giancarlo Franceso Civita;Brazil;BRA;1.05;;Non-Traded Sectors;inherited;Third generation;inherited;Media;relation;male;media;media;Grupo Abril;new;1950;;;Latin America;3rd generation;;138.802093506;0.756472706795;North,Founder,Real Billionaires
2014;580;Gilberto Benetton;Italy;ITA;2.9;72.0;Traded Sectors;self-made;;founder non-finance;Consumer;founder;male;clothing, investments;fashion;Benetton Group;new;1965;;;Europe;;;138.802093506;2.08930563927;North,Founder,Real Billionaires
2014;580;Giuliana Benetton;Italy;ITA;2.9;76.0;Traded Sectors;self-made;;founder non-finance;Consumer;founder;female;clothing, investments;fashion;Benetton Group;new;1965;;;Europe;;;138.802093506;2.08930563927;North,Founder,Real Billionaires
2014;869;Gordon Getty;United States;USA;2.0;80.0;Resource Related;inherited;inherited from father;inherited;Energy;relation;male;Getty Oil;oil;Getty;new;1904;;;North America;inherited from father;;138.802093506;1.44090044498;North,Founder,Real Billionaires
2014;281;Gordon Moore;United States;USA;5.0;85.0;New Sectors;self-made;;founder non-finance;Technology-Computer;founder;male;Intel;technology;Intel;new;1968;;;North America;;;138.802093506;3.60225105286;North,Founder,Real Billionaires
1996;231;Goulandris family;Greece;GRC;1.70000004768;0.0;Financial;inherited;;inherited;Money Management;;;;shipping;Fitzwilton;;;;146558465459.0;Europe;;;100.000007629;1.69999992847;North,Founder,Real Billionaires
2014;869;Guy Laliberte;Canada;CAN;2.0;54.0;0.0;self-made;;founder non-finance;Other;founder;male;Cirque du Soleil;entertainment;Cirque du Soleil;new;1984;;;North America;;;138.802093506;1.44090044498;North,Founder,Real Billionaires
2014;551;H. Fisk Johnson;United States;USA;3.0;55.0;Traded Sectors;inherited;Fifth generation or longer;inherited;Consumer;relation;male;cleaning products;cleaning supplies;S. C. Johnson & Son;new;1886;;;North America;5th generation;;138.802093506;2.16135072708;North,Founder,Real Billionaires
2014;446;H. Ross Perot, Sr.;United States;USA;3.5;83.0;New Sectors;self-made;;founder non-finance;Technology-Computer;founder;male;computer services, real estate;data processing;Electronic Data Systems;new;1962;;;North America;;;138.802093506;2.52157568932;North,Founder,Real Billionaires
2014;1565;Harindarpal Banga;India;IND;1.0;63.0;Resource Related;self-made;;privatized and resources;Mining and metals;Vice Chairman;male;commodities;commodity trading;Noble Group;new;1986;;;South Asia;;;138.802093506;0.720450222492;North,Founder,Real Billionaires
2014;281;Harry Triguboff;Australia;AUS;5.0;81.0;Financial;self-made;;self-made finance;Real Estate;founder;male;property;real estate;Meriton;new;1968;;;North America;;;138.802093506;3.60225105286;North,Founder,Real Billionaires
1996;219;Hasso Plattner;Germany;DEU;1.79999995232;52.0;New Sectors;self-made;;founder non-finance;Technology-Computer;founder;male;;software;SAP AG;new;1972;;2501572654020.0;Europe;;;100.000007629;1.79999983311;North,Founder,Real Billionaires
1996;40;Helen Walton;United States;USA;4.69999980927;76.0;Traded Sectors;inherited;spouse or widow;inherited;Consumer;relation;female;;retail;Walmart;new;1962;;8100200000000.0;North America;widow;;100.000007629;4.69999933243;North,Founder,Real Billionaires
1996;406;Henri Andre;Switzerland;CHE;1.0;0.0;Financial;inherited;Third generation;inherited;Money Management;relation;male;;grain;Andre & Cie;new;1877;;329619336570.0;Europe;3rd generation;;100.000007629;0.999999940395;North,Founder,Real Billionaires
2001;452;Henry Fok;Hong Kong;HKG;1.10000002384;77.0;Financial;self-made;;self-made finance;Real Estate;investor;male;;casinos;Sociedade de Turismo e Diversões de Macau;new;1962;;169403241524.0;East Asia;;;109.114585876;1.00811457634;North,Founder,Real Billionaires
2001;336;Henry Kravis;United States;USA;1.5;57.0;Financial;self-made;;self-made finance;Private equity/leveraged buyout;founder;male;;leveraged buyouts;Kohlberg Kravis Roberts;new;1976;;10621824000000.0;North America;;;109.114585876;1.37470161915;North,Founder,Real Billionaires
2014;868;Herbert Simon;United States;USA;2.05;79.0;Financial;self-made;;self-made finance;Real Estate;founder;male;real estate;real estate;Simon Property Group;new;1960;;;North America;;;138.802093506;1.47692298889;North,Founder,Real Billionaires
1996;368;Hope Hill Van Beuren;United States;USA;1.10000002384;35.0;Traded Sectors;inherited;Third generation;inherited;Consumer;relation;female;;soup;Campbell Soup;aquired;1869;;8100200000000.0;North America;3rd generation;;100.000007629;1.09999990463;North,Founder,Real Billionaires
1996;226;Huang Shi-hui;Taiwan;Taiwan;1.79999995232;0.0;Traded Sectors;inherited;Third generation;inherited;Consumer;relation;male;;automobiles;Chinfon Group;new;1903;;;East Asia;3rd generation;;100.000007629;1.79999983311;North,Founder,Real Billionaires
2014;244;Hui Wing Mau;Hong Kong;HKG;5.7;63.0;Financial;self-made;;self-made finance;Real Estate;founder;male;real estate;real estate;Shimao Property;new;1988;;;East Asia;(aka Xu Rongmao) claimed to invest in a knitting factory rather than a hotel to get around restrictions on private hotesl;;138.802093506;4.1065659523;North,Founder,Real Billionaires
2014;1372;Ioan Niculae;Romania;ROU;1.2;59.0;Traded Sectors;self-made;;privatized and resources;Consumer;founder;male;agriculture;aigriculture;InterAgro;new;1995;1.0;;Europe;former securitate, privatizations, connections to mayor;;138.802093506;0.864540278912;North,Founder,Real Billionaires
2001;251;Robert Fisher;United States;USA;1.89999997616;47.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;male;;clothing;The Gap;new;1969;;10621824000000.0;North America;inherited from parents;;109.114585876;1.74128866196;North,Founder,Real Billionaires
2014;137;Roman Abramovich;Russia;RUS;9.1;47.0;Resource Related;self-made;;privatized and resources;Non-consumer industrial;founder;male;steel, investments;private investment company;Millhouse LLC;new;1988;1.0;;Europe;ties to Boris Yeltsin, took advantage of fall of Soviet Union to make money;;138.802093506;6.55609750748;North,Founder,Real Billionaires
2001;138;Ronald Lauder;United States;USA;3.20000004768;59.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;male;;makeup;Estée Lauder;new;1946;;10621824000000.0;North America;inherited from parents;;109.114585876;2.93269681931;North,Founder,Real Billionaires
2014;408;Ronald Lauder;United States;USA;3.7;70.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;male;Estee Lauder;makeup;Estée Lauder;new;1946;;;North America;inherited from parents;;138.802093506;2.66566586494;North,Founder,Real Billionaires
2014;1372;Rubens Menin Teixeira de Souza;Brazil;BRA;1.2;57.0;Non-Traded Sectors;self-made;;founder non-finance;Constrution;founder;male;home building;construction;MRV Engenharia;new;1979;;;Latin America;;;138.802093506;0.864540278912;North,Founder,Real Billionaires
2014;931;Rubens Ometto Silveira Mello;Brazil;BRA;1.9;64.0;Resource Related;self-made;;privatized and resources;Energy;chairman;male;sugar, ethanol;ethanol;Cosan;aquired;1936;;;Latin America;moved company from sugar to ethanol production;;138.802093506;1.36885547638;North,Founder,Real Billionaires
1996;104;Rudolf Oetker;Germany;DEU;2.90000009537;0.0;Traded Sectors;inherited;Third generation;inherited;Consumer;relation;male;;food;Oetker-Gruppe;new;1891;;2501572654020.0;Europe;3rd generation;;100.000007629;2.89999985695;North,Founder,Real Billionaires
2001;9;S Robson Walton;United States;USA;18.6000003815;57.0;Non-Traded Sectors;inherited;inherited from father;inherited;Retail, Restaurant;relation;male;;retail;Walmart;new;1962;;10621824000000.0;North America;inherited from father;chairman walmart;109.114585876;17.0463008881;North,Founder,Real Billionaires
2014;609;Saif Al Ghurair;United Arab Emirates;ARE;2.8;;Financial;inherited;inherited from father;inherited;Diversified financial;relation;male;diversified;industrial goods;Al-Ghurair Group;new;1960;;;Middle East/North Africa;inherited from father;;;;North,Founder
1996;73;Sakip Sabanci;Turkey;TUR;3.5;63.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;male;;textiles;Sabanci Holdings;new;1926;;181475555283.0;Middle East/North Africa;inherited from father;;100.000007629;3.49999976158;North,Founder,Real Billionaires
1996;346;Sam Zell;;USA;1.20000004768;54.0;Financial;;;executive;Real Estate;;;;;;;;;8100200000000.0;North America;;;100.000007629;1.19999992847;North,Founder,Real Billionaires
2014;1154;Senapathy Gopalakrishnan;India;IND;1.5;58.0;New Sectors;self-made;;founder non-finance;Technology-Computer;founder and executive vice chairman;male;software;information services;Infosys;new;1981;;;South Asia;;;;;North,Founder
2014;1203;Sergei Katsiev;Russia;RUS;1.45;56.0;Non-Traded Sectors;self-made;;founder non-finance;Retail, Restaurant;founder;male;retail, wholesale;tobacco;Megapolis;new;1998;;;Europe;connected to Igor Kasaev;;138.802093506;1.04465281963;North,Founder,Real Billionaires
2014;102;Shiv Nadar;India;IND;11.1;68.0;New Sectors;self-made;;founder non-finance;Technology-Computer;founder;male;information technology;technology;HCL;new;1976;;;South Asia;;;138.802093506;7.99699783325;North,Founder,Real Billionaires
1996;211;Shoji Uehara;Japan;JPN;1.89999997616;0.0;New Sectors;inherited;inherited from father;inherited;Technology-Medical;relation;male;;pharmaceuticals;Taisho Pharmaceutical;new;1912;;4706187126020.0;East Asia;inherited from father;;100.000007629;1.89999985695;North,Founder,Real Billionaires
2014;1284;Alain Taravella;France;FRA;1.3;66.0;Financial;self-made;;self-made finance;Real Estate;founder;male;real estate;real estate;Altarea Cogedim;new;1994;;;Europe;;;138.802093506;0.936585247517;North,Founder,Real Billionaires
2001;70;Alain Wertheimer;France;FRA;5.0;;Traded Sectors;inherited;Third generation;inherited;Consumer;relation;male;;luxury goods;Chanel;new;1909;;1382218344520.0;Europe;3rd generation;;109.114585876;4.58233880997;North,Founder,Real Billionaires
2014;869;Alexei Ananyev;Russia;RUS;2.0;49.0;Financial;self-made;;self-made finance;Money Management;founder;male;banking, IT, real estate;technology;Technoserv;new;1992;;;Europe;;;138.802093506;1.44090044498;North,Founder,Real Billionaires
2014;40;Alisher Usmanov;Russia;RUS;18.6;60.0;Resource Related;self-made;;privatized and resources;Non-consumer industrial;founder;male;steel, telecom, investments;metals;Metalloinvest;new;1999;;;Europe;;;138.802093506;13.4003744125;North,Founder,Real Billionaires
2014;1356;Allan Slaight;Canada;CAN;1.25;81.0;Non-Traded Sectors;self-made;;executive;Media;owner;male;broadcasting;broadcasting;Slaight Communications;aquired;1971;;;North America;;;138.802093506;0.900562763214;North,Founder,Real Billionaires
1996;401;Ana Maria Brescia Cafferata;Peru;PER;1.0;0.0;Resource Related;inherited;inherited from father;inherited;Mining and metals;relation;female;;mining, banking;Grupo Prescia (now Pandora Group);new;1889;;53975906966.8;Latin America;inherited father's company;took part in major business decisions of company;100.000007629;0.999999940395;North,Founder,Real Billionaires
2014;446;Andreas Struengmann;Germany;DEU;3.5;64.0;New Sectors;self-made;;founder non-finance;Technology-Medical;founder;male;pharmaceuticals;pharmaceuticals;Hexal AG;new;1986;;;Europe;;;138.802093506;2.52157568932;North,Founder,Real Billionaires
2014;1154;Andrei Bokarev;Russia;RUS;1.5;47.0;Resource Related;self-made;;privatized and resources;Energy;president;male;coal mining, machine building;locomotive manufacturing;CJSC Transmashholding;new;2002;;;Europe;;;138.802093506;1.08067536354;North,Founder,Real Billionaires
2001;312;Andrew McKelvey;United States;USA;1.60000002384;;New Sectors;self-made;;founder non-finance;Technology-Computer;founder;male;;advertising;Monster Worldwide;new;1967;;10621824000000.0;North America;;;109.114585876;1.46634840965;North,Founder,Real Billionaires
2014;1284;Aneel Bhusri;United States;USA;1.3;48.0;New Sectors;self-made;;executive;Technology-Computer;partner;male;business software;venture capitalist;Greylock Partners;new;1965;;;North America;;;138.802093506;0.936585247517;North,Founder,Real Billionaires
2001;421;Anthony O'Reilly;Ireland;IRL;1.20000004768;64.0;Non-Traded Sectors;self-made;;executive;Media;chairman;male;;media;Independent News & Media;new;1904;;108455212528.0;Europe;;;109.114585876;1.09976136684;North,Founder,Real Billionaires
